LANGUAGE	CONCEPT	VALUE
Hausa	dirt	dauɗā̀
Hausa	wideness	fādī
Hausa	old	tsōhō
Hausa	new	sābō
Hausa	evil	mūgū̀
Hausa	good	dà kyâu
Hausa	short	gàjērē
Hausa	long	dōgō
Hausa	sourness	tsāmī
Hausa	bitterness	ɗācī
Hausa	sweetness	zāƙī
Hausa	correct	daidai
Hausa	softness	laushī
Hausa	hardness	taurī
Hausa	all	dukà
Hausa	many	dà yawā̀
Hausa	small	ƙàramī
Hausa	large	bàbbā
Hausa	heaviness	nauyī
Hausa	darkness	duhū̀
Hausa	light	haskē
Hausa	blue	shūɗī̀
Hausa	yellow	rā̀wayā̀
Hausa	green	kōrḕ
Hausa	red	jā
Hausa	black	baƙī
Hausa	white	farī
Hausa	woman's bodycloth	zanḕ
Hausa	man's robe	rī̀gā
Hausa	money	kuɗī
Hausa	market	kā̀suwā
Hausa	boat	jirgī
Hausa	hole	rāmī̀
Hausa	time	lōkàcī
Hausa	place	wurī
Hausa	lie	ƙaryā
Hausa	truth	gàskiyā
Hausa	shadow	inuwā̀
Hausa	thirst	ƙishirwā
Hausa	hunger	yunwā̀
Hausa	fatigue	gàjiyā̀
Hausa	pimple	ƙurjī
Hausa	ulcer	gyàmbō
Hausa	ulcer	mīkī̀
Hausa	fever	zàzzàɓī
Hausa	cough	tā̀rī
Hausa	sickness	cīwṑ
Hausa	death	mutuwā̀
Hausa	life	râi
Hausa	dream	mafarkī
Hausa	sleep	barcī
Hausa	war	yāƙī̀
Hausa	work	aikī̀
Hausa	language	yā̀rē
Hausa	load	kāyā
Hausa	thing	àbù
Hausa	small water pot	tū̀lū
Hausa	large water pot	ràndā
Hausa	small pot	kaskō
Hausa	cooking pot	tukunyā
Hausa	calabash	ƙwaryā
Hausa	rope	igiyā̀
Hausa	knife	wuƙā
Hausa	quiver	kwàrī
Hausa	arrow	kibiyā̀
Hausa	bow	bàkā
Hausa	mat (tabarma)	zānā
Hausa	mat (tabarma)	tā̀barmā
Hausa	sword	takṑbī
Hausa	spear	māshī̀
Hausa	stick	sàndā
Hausa	honey	zumā̀
Hausa	melon	kàbēwā̀
Hausa	sweet potato	dànkalī̀
Hausa	yam	dōyā̀
Hausa	cassava	rōgṑ
Hausa	oil	mâi
Hausa	groundnuts	gyàɗā
Hausa	millet	màiwā
Hausa	guinea corn	dāwā̀
Hausa	okra	kubḕwā
Hausa	beans	wākē
Hausa	pepper	bàrkṑnō
Hausa	salt	gishirī
Hausa	milk	madarā
Hausa	flour	gā̀rī
Hausa	fish	kīfī
Hausa	meat	nāmā̀
Hausa	gruel	kùnū
Hausa	sauce	miyā̀
Hausa	mush	tuwō
Hausa	food	àbinci
Hausa	tail	wutsiyā̀
Hausa	horn	kàhō
Hausa	egg	ƙwai
Hausa	wing	fiffikḕ
Hausa	vulture	ùngùlū
Hausa	kite	shirwā̀
Hausa	dove	kurciyā
Hausa	bird	tsuntsū
Hausa	cat	kyânwā
Hausa	dog	kàrē
Hausa	rooster	zàkarā̀
Hausa	hen	kā̀zā
Hausa	donkey	jā̀kī
Hausa	horse	dōkī̀
Hausa	ram	rā̀gō
Hausa	sheep	tunkìyā
Hausa	he-goat	bùnsurū
Hausa	goat	àkwiyā̀
Hausa	bull	sā̂
Hausa	cow	sānìyā
Hausa	locust	fā̀rā
Hausa	anthill	sūrì
Hausa	termite	gàrā
Hausa	louse	kwârkwatā̀
Hausa	spider	gizṑ
Hausa	mosquito	saurō
Hausa	fly	ƙudā
Hausa	worm	tsūtsā̀
Hausa	chameleon	hàwainìyā
Hausa	scorpion	kùnāmā̀
Hausa	bat	jēmāgḕ
Hausa	squirrel	kùrēgē
Hausa	frog	kwā̀ɗō
Hausa	turtle	kùnkurū
Hausa	python	mēsā̀
Hausa	snake	macī̀jī
Hausa	lizard	ƙadangarḕ
Hausa	wild cat	mùzūrū
Hausa	rat	ɓērā
Hausa	guinea fowl	zā̀bō
Hausa	rabbit	zōmō
Hausa	duiker	gā̀dā
Hausa	gazelle	bàrēwā
Hausa	baboon	gwaggṑ
Hausa	monkey	birī̀
Hausa	leopard	dā̀misā̀
Hausa	elephant	giwā
Hausa	hyena	kūrā
Hausa	lion	zākī̀
Hausa	wild animal	nāmàn dājī̀
Hausa	iron	ƙarfḕ
Hausa	sickle	làujē
Hausa	axe	gā̀tarī
Hausa	hoe	fartanyā̀
Hausa	farm	gōnā
Hausa	road	hanyā̀
Hausa	doorway	ƙōfā̀
Hausa	hut	ɗākī̀
Hausa	compound	gidā
Hausa	town	gàrī
Hausa	the bush	dājī̀
Hausa	forest	kurmī̀
Hausa	mud	tàɓō
Hausa	dust	ƙùrā
Hausa	sand	yā̀shī
Hausa	ground	ƙasā
Hausa	stone	dutsḕ
Hausa	mountain	dutsḕ
Hausa	grass	cìyāwā̀
Hausa	thorn	ƙayā̀
Hausa	shea nut tree	kaɗanyā̀
Hausa	tamarind	tsāmiyā
Hausa	mahogany tree	maɗā̀cī
Hausa	baobab tree	kūkā̀
Hausa	seed	irī̀
Hausa	bark	ɓāwō
Hausa	leaf	ganyē
Hausa	wood	itā̀cē
Hausa	tree	itā̀cē
Hausa	ashes	tṑkā
Hausa	charcoal	gawàyī
Hausa	fire	wutā
Hausa	dry season	rānī
Hausa	rainy season	dā̀munā
Hausa	year	shḕkarā̀
Hausa	evening	màràicē
Hausa	morning	sāfē
Hausa	night	darē
Hausa	star	tàurarṑ
Hausa	moon	watā̀
Hausa	sun	rānā
Hausa	sky	samā̀
Hausa	lightning	wàlƙiyā
Hausa	thunder	tsāwā
Hausa	storm	hadarī̀
Hausa	wind	iskā̀
Hausa	harmattan	hùntūrū̀
Hausa	fog	hazō
Hausa	smoke	hayāƙī
Hausa	dew	rāɓā
Hausa	lake	tafkī̀
Hausa	river	kṑgī
Hausa	cloud	girgijḕ
Hausa	water	ruwā
Hausa	stealing	sātā̀
Hausa	smithing	ƙīrā̀
Hausa	blacksmith	maƙḕrī
Hausa	weaving	sāƙā̀
Hausa	hunting	fàrautā̀
Hausa	drumming	kiɗī̀
Hausa	friend	àbōkī
Hausa	guest	bā̀ƙō
Hausa	medicine	māgànī
Hausa	native doctor	bōkā
Hausa	God	allā̀
Hausa	slave	bāwā̀
Hausa	king	sarkī
Hausa	old woman	tsōhuwā
Hausa	old man	tsōhō
Hausa	baby	jinjìrī
Hausa	girl	yārinyā̀
Hausa	boy	yārṑ
Hausa	woman	màcè
Hausa	man	mijī̀
Hausa	person	mùtûm
Hausa	name	sūnā
Hausa	voice	muryā̀
Hausa	saliva	miyau
Hausa	saliva	yau
Hausa	sweat	gùmī
Hausa	faeces	kāshī
Hausa	urine	fitsarī
Hausa	vein	jījìyā
Hausa	bone	ƙàshī
Hausa	blood	jinī
Hausa	lungs	hū̀hū
Hausa	ribs	haƙàrƙarī
Hausa	kidney	ƙōdā̀
Hausa	liver	hantā̀
Hausa	heart	zūcìyā
Hausa	intestines	hanjī
Hausa	navel	cībìyā
Hausa	stomach	cikī̀
Hausa	testicles	gwaiwā
Hausa	vagina	dūrī̀
Hausa	penis	bùrā
Hausa	anus	tsulìyā
Hausa	buttocks	gìndī
Hausa	flesh	nāmā̀
Hausa	skin	fātā̀
Hausa	body	jìkī
Hausa	knee	gwīwā̀
Hausa	thigh	cinyā̀
Hausa	leg	ƙafā̀
Hausa	finger	yātsā̀
Hausa	arm	hannū
Hausa	shoulder	kā̀fadā̀
Hausa	woman's breast	mā̀mā
Hausa	chest	ƙìrjī
Hausa	neck	wuyā̀
Hausa	tooth	haƙōrī
Hausa	tongue	harshḕ
Hausa	lip	lēɓḕ
Hausa	mouth	bā̀kī
Hausa	beard	gēmù
Hausa	chin	haɓā̀
Hausa	cheeks	kumā̀tū
Hausa	eye	idṑ
Hausa	ear	kûnnē
Hausa	nose	hancī̀
Hausa	face	fuskā̀
Hausa	brains	ƙwaƙwalwā
Hausa	hair	gāshī̀
Hausa	head	kâi
Hausa	grandparent	kā̀kā
Hausa	sister	'yar'uwā
Hausa	brother	ɗan'uwā
Hausa	daughter	'yā
Hausa	son	ɗā
Hausa	mother	uwā
Hausa	father	ùbā
Hausa	one hundred	ɗàri
Hausa	ninety	tàsà'in
Hausa	eighty	tàmā̀nin
Hausa	seventy	sàbà'in
Hausa	sixty	sìttin
Hausa	fifty	hàmsin
Hausa	forty	àrbà'in
Hausa	thirty	tàlā̀tin
Hausa	twenty five	àshìrin dà bìyar
Hausa	twenty four	àshìrin dà huɗu
Hausa	twenty one	àshìrin dà ɗaya
Hausa	twenty	àshìrin
Hausa	nineteen	gōmà shā̂ tarà
Hausa	eighteen	gōmà shā̂ takwàs
Hausa	thirteen	gōmà shā̂ ukù
Hausa	twelve	gōmà shā̂ biyu
Hausa	eleven	gōmà shā̂ ɗaya
Hausa	ten	gōmà
Hausa	nine	tarà
Hausa	eight	takwàs
Hausa	seven	bakwài
Hausa	six	shidà
Hausa	five	bìyar
Hausa	four	huɗu
Hausa	three	ukù
Hausa	two	biyu
Hausa	one	ɗaya
Angas	wash	vwaŋ
Angas	(rope) broke	cān
Angas	(stick) snapped	tep
Angas	break in pieces	pyin
Angas	plait	lok
Angas	weave	sak
Angas	obtain	kàt
Angas	moisten	nyon
Angas	blow	fi
Angas	sweep	fet
Angas	pour	lè ɗō
Angas	untie	fwin
Angas	tie	ɓat
Angas	surpass	ɗēl
Angas	sew	tèn
Angas	dry up	fi
Angas	fill	gām
Angas	begin	ɗòm
Angas	finish	ɗì̵m
Angas	increase	ɗen ki̵ ke
Angas	forge	kolom
Angas	follow	la ši kī̵nī
Angas	die	mùt
Angas	wait for	kaŋ nyī̵
Angas	give birth	lè
Angas	stand up	yàl ɗar
Angas	sit	tòŋ
Angas	call	naŋ
Angas	sell	sit mwà
Angas	buy	sit
Angas	shoot	pùs
Angas	bite	àt
Angas	give	pi̵n nyī̵
Angas	seize	yie
Angas	drive away	cin
Angas	hold	ɗàp
Angas	squeeze	mwes ɠwat
Angas	pierce	ɓɛl
Angas	divide	rī̵p
Angas	learn	sit
Angas	dig	fòk
Angas	forget	cadi̵r
Angas	remember	lèŋ
Angas	know	man
Angas	fall	te
Angas	help	tèr kà zī̵m kī̵nī
Angas	help	ɓam nyī̵
Angas	steal	ɗàp nwàt
Angas	hide	sok
Angas	undress	si̵t šwat
Angas	dress	li̵p
Angas	build	ɠi̵k
Angas	tear	yel
Angas	cut	cen
Angas	chop	kwos
Angas	twist	myer
Angas	refuse	ta
Angas	answer	lap
Angas	ask	naŋ
Angas	speak	li̵
Angas	boil	fi̵l
Angas	fry	sur
Angas	roast	wus
Angas	cook	cèt
Angas	burn	tal
Angas	accompany	ɓwot
Angas	gather	kwòk
Angas	bury	wùm
Angas	close	pè
Angas	open	bèt
Angas	be tired	nyìn
Angas	rest	šaŋ nyòk
Angas	lie down	ter
Angas	put down	ɗen
Angas	lift	ɗàp
Angas	push	tus
Angas	pull	deŋ
Angas	kill	tù
Angas	rub	vwùk
Angas	hit	mwàt
Angas	taste	càm
Angas	touch	càm
Angas	hear	fwōt
Angas	see	ni
Angas	mount	kè
Angas	run	sù
Angas	go out	pùt
Angas	go in	sìt
Angas	return	bè
Angas	come	jì̵
Angas	go	met
Angas	do	cì̵n
Angas	swallow	ɗal
Angas	drink	šwē
Angas	eat	sè
Angas	there is not	nyi̵ ɗī kà
Angas	there is	nyi̵ ɗī
Angas	west	kwàŋ pòsi̵n
Angas	east	kwàŋ gin
Angas	south	kwàŋ kwòl
Angas	north	kwàŋ pwana
Angas	left	sarkùl
Angas	right	sarsè
Angas	between	nèr
Angas	under	ntòm
Angas	atop	kàke
Angas	outside	pùtol
Angas	inside	ɗi̵n
Angas	that	kòpwana kòɗà
Angas	this	kònyì
Angas	there	pwana
Angas	here	mi̵nī
Angas	how many?	kùraŋē
Angas	how?	raŋē
Angas	who?	wè
Angas	what?	mè
Angas	when?	šì̵kòdàŋē
Angas	where?	nī̵nnē
Angas	tomorrow	di̵ɗer
Angas	yesterday	dòndòn
Angas	today	ci̵nī
Angas	deaf man	ngòpòdùr
Angas	blind man	ngòvùm
Angas	strength	kam
Angas	coldness	ɓwap
Angas	hotness	wòŋ
Angas	far	sònsòn
Angas	near	kus
Angas	inexpensiveness	gàm kà
Angas	expensiveness	gàm
Angas	thin	melan
Angas	fatness	woron
Angas	cleanness	ritrit
Angas	dirt	ràp
Angas	wideness	ben
Angas	old	nsì̵r
Angas	new	mpwì
Angas	evil	ɓwut bì̵s
Angas	good	rit
Angas	short	dì̵dì̵t
Angas	long	šòn
Angas	sourness	mer
Angas	bitterness	git
Angas	sweetness	šaŋ
Angas	correct	ngàkngàk
Angas	softness	lòm
Angas	hardness	kam
Angas	all	ki̵šì̵
Angas	many	dūŋ
Angas	small	dit
Angas	large	bì̵ji̵m
Angas	heaviness	ton
Angas	darkness	pìkwì
Angas	light	piɓàŋ
Angas	blue	lì̵šì̵m šunu
Angas	yellow	àmšwe
Angas	green	mwàlm
Angas	red	net
Angas	black	ti̵p
Angas	white	pye
Angas	man's robe	fàtat
Angas	money	šàl
Angas	hole	lu
Angas	hole	fuŋ
Angas	hole	ɓel
Angas	place	pi̵ nyè pī
Angas	lie	kwolm
Angas	truth	nzin
Angas	shadow	rin
Angas	thirst	pòcokfì
Angas	hunger	nyi̵n
Angas	fatigue	nyìn
Angas	pimple	ši̵kgwalgwal
Angas	ulcer	ndànà
Angas	fever	šì̵kwòŋ
Angas	cough	nfaram
Angas	sickness	mbìle
Angas	death	mut
Angas	life	nyòk
Angas	dream	sun
Angas	sleep	sèm
Angas	war	lek
Angas	work	sì̵tcì̵n
Angas	language	šì̵ktòk
Angas	thing	bi
Angas	small water pot	tul
Angas	large water pot	cwìn
Angas	small pot	gùžòk
Angas	cooking pot	colè
Angas	calabash	ɗe
Angas	rope	teŋ
Angas	knife	cùk
Angas	quiver	dàloŋ
Angas	arrow	pas
Angas	bow	rì
Angas	mat (tabarma)	karam
Angas	mat (tabarma)	len
Angas	sword	šì̵ktòk
Angas	spear	kwòp
Angas	stick	ndàm
Angas	honey	nšì
Angas	melon	ɓwan
Angas	yam	ɓwèr
Angas	cassava	ɓweryom
Angas	oil	mwir̃
Angas	groundnuts	lànkàŋ màlar
Angas	millet	màngùn
Angas	guinea corn	šwe kas
Angas	okra	tok
Angas	beans	gi̵rm
Angas	pepper	šì̵ta
Angas	salt	kì̵ì̵n
Angas	flour	es
Angas	fish	mɓup
Angas	meat	nam
Angas	gruel	wer
Angas	sauce	pwùk
Angas	mush	mun
Angas	food	mbìse
Angas	tail	daŋ
Angas	horn	som
Angas	egg	ès
Angas	wing	cep
Angas	vulture	dì̵gaši
Angas	kite	gelele
Angas	dove	mbul
Angas	bird	yer
Angas	cat	mus
Angas	dog	às
Angas	rooster	dɩl
Angas	hen	kì
Angas	horse	bi̵rŋ
Angas	ram	ngem
Angas	sheep	mà
Angas	he-goat	mbop
Angas	goat	gī̵
Angas	bull	nkwòsni̵ŋ
Angas	cow	ni̵ŋ
Angas	locust	ngwòk
Angas	anthill	ntuŋ lùtèzu
Angas	termite	tèzu
Angas	louse	masana
Angas	spider	nēn làŋvì̵p
Angas	mosquito	nfwut
Angas	fly	nšì
Angas	worm	mwàm
Angas	chameleon	ngaràp
Angas	scorpion	ɠòr
Angas	bat	ɠi̵m
Angas	squirrel	èk
Angas	frog	lamwat
Angas	turtle	kur
Angas	python	myirm
Angas	snake	ngwòŋ
Angas	lizard	ngwòjo
Angas	wild cat	sol
Angas	rat	gùzùm
Angas	guinea fowl	tòm
Angas	rabbit	nkafwan
Angas	duiker	tep pep
Angas	gazelle	tara
Angas	baboon	nker
Angas	monkey	jolì
Angas	leopard	mùlut
Angas	elephant	ŋi
Angas	hyena	nkarɓak
Angas	lion	mbwàr
Angas	wild animal	nàm ši̵t
Angas	iron	šàl
Angas	sickle	žim
Angas	axe	sep
Angas	hoe	cen
Angas	farm	mar
Angas	road	yì̵tar ar
Angas	doorway	pòlu
Angas	hut	lu
Angas	compound	wok
Angas	town	yi̵l
Angas	the bush	ši̵t
Angas	forest	lì̵ci̵r
Angas	mud	žàp wan
Angas	dust	òrŋ
Angas	sand	gis
Angas	ground	yi̵l
Angas	stone	gì̵k paŋ
Angas	mountain	žwàl
Angas	grass	ɗem
Angas	thorn	gì̵r
Angas	shea nut tree	taɓi
Angas	tamarind	li̵s
Angas	mahogany tree	tan
Angas	baobab tree	tòri
Angas	seed	ken
Angas	bark	fop ndarm
Angas	leaf	 yì̵m kwòmti̵ŋ
Angas	wood	yom šip
Angas	tree	ti̵ŋ
Angas	ashes	fwat
Angas	charcoal	gerp
Angas	fire	wùs
Angas	dry season	lun
Angas	rainy season	pàs
Angas	year	yi
Angas	evening	pòsi̵n
Angas	morning	bit
Angas	night	mpar
Angas	star	mèlm
Angas	moon	tar
Angas	sun	pus
Angas	sky	pòti̵ŋ
Angas	lightning	mὲlmfwān
Angas	thunder	yàndàt
Angas	storm	kwìfwan
Angas	wind	kwòm
Angas	harmattan	lùpu
Angas	fog	gwàngwaŋ
Angas	smoke	gil
Angas	dew	si̵r
Angas	lake	kuràm
Angas	river	for
Angas	cloud	mùlùmfan
Angas	water	àm fwān
Angas	stealing	wàt
Angas	smithing	kolom
Angas	blacksmith	ngòkolom
Angas	weaving	sak
Angas	hunting	kwàt
Angas	drumming	tè
Angas	friend	šerna
Angas	guest	mì̵zèp
Angas	medicine	yi̵n
Angas	native doctor	pe
Angas	God	nēn
Angas	slave	nfwàn
Angas	king	ngòloŋ
Angas	old woman	màtkwun
Angas	old man	ngòkwun
Angas	baby	gèm mpar
Angas	girl	gèm mat
Angas	boy	gèm
Angas	woman	mat
Angas	man	gwomì̵s
Angas	person	gùrm go
Angas	name	si̵m
Angas	voice	dò
Angas	saliva	li
Angas	sweat	piwòŋ
Angas	faeces	ɠès
Angas	urine	ngì̵zì̵ŋ
Angas	vein	pèr
Angas	lungs	fùfwa
Angas	ribs	kwòptur
Angas	kidney	di̵k
Angas	liver	nkì
Angas	heart	dur
Angas	intestines	mbùšàŋ
Angas	navel	kum
Angas	stomach	bwut
Angas	testicles	àši̵l
Angas	vagina	nyir
Angas	penis	di̵p
Angas	anus	bì̵dì̵r
Angas	buttocks	bwin
Angas	flesh	nam
Angas	skin	šì̵m
Angas	body	ši̵k
Angas	knee	fùrùm
Angas	thigh	žwar
Angas	leg	ši
Angas	finger	kwòŋ sar
Angas	arm	sar
Angas	shoulder	cok
Angas	woman's breast	wur
Angas	chest	tur
Angas	neck	cok
Angas	tooth	ààs
Angas	tongue	lì̵s
Angas	lip	šɩ̀mpò
Angas	mouth	pò
Angas	beard	mpàp
Angas	chin	pòjam
Angas	cheeks	càl
Angas	eye	yi̵t
Angas	ear	kwom
Angas	nose	gi̵zi̵ŋ
Angas	face	pòyi̵t
Angas	brains	tàbùr
Angas	hair	fip
Angas	head	ke
Angas	grandparent	kàka gì̵žet
Angas	sister	màlnà
Angas	brother	ɠὲm ni̵nna mwolna
Angas	daughter	rip gὲm mat
Angas	son	ɠɛm
Angas	mother	nàna ni̵n
Angas	father	bàba pup
Angas	one hundred	ɗàri
Angas	ninety	tek pòfar
Angas	eighty	tek pòkwun
Angas	seventy	tek pòbap
Angas	sixty	tek pìmi
Angas	fifty	tek pèt
Angas	forty	tek fir
Angas	thirty	tek kwan
Angas	twenty five	tek bap pò pèt
Angas	twenty four	tek bap pò fir
Angas	twenty one	tek bap pò gàk
Angas	twenty	tek bap
Angas	nineteen	sàr pò pòfar
Angas	eighteen	sàr pò pòkwun
Angas	thirteen	sàr pò kwan
Angas	twelve	sàr pò bap
Angas	eleven	sàr pò gàk
Angas	ten	sàr
Angas	nine	pòfar
Angas	eight	pòkwun
Angas	seven	pòbap
Angas	six	pìmi
Angas	five	pèt
Angas	four	fir
Angas	three	kwan
Angas	two	bap
Angas	one	gàk
Sura	wash	fwàŋ
Sura	(rope) broke	cyàn
Sura	(stick) snapped	tèep
Sura	break in pieces	pìyìn
Sura	plait	tèep
Sura	weave	raa
Sura	obtain	kàt
Sura	moisten	lòk
Sura	blow	fìi
Sura	sweep	fet
Sura	pour	ɗôo
Sura	untie	fwôon
Sura	tie	ɓwoɣàt
Sura	surpass	mêd
Sura	sew	tâan
Sura	dry up	fiyì
Sura	fill	kì̵i̵m
Sura	begin	ɗòɣòm
Sura	finish	kyès
Sura	increase	lèdì̵ke
Sura	forge	kùlòm
Sura	throw	paak
Sura	follow	sòndàŋ
Sura	die	mûut
Sura	wait for	naa
Sura	give birth	làa
Sura	stand up	yì̵ɣàl
Sura	sit	tôŋ
Sura	call	pêt
Sura	sell	seet
Sura	buy	seet
Sura	shoot	pùs
Sura	bite	ʔat
Sura	give	cîn
Sura	seize	yâa
Sura	drive away	cyên
Sura	hold	yâa
Sura	squeeze	ɗuwat
Sura	pierce	sùl
Sura	divide	ɓàk
Sura	learn	ki̵m
Sura	dig	ɓwân
Sura	forget	mânter
Sura	remember	pân
Sura	know	mân
Sura	fall	taa
Sura	help	ɓâm
Sura	steal	wat
Sura	hide	sòk
Sura	arrange	ɗak
Sura	undress	šuwàt
Sura	dress	lèe
Sura	build	ɗyik
Sura	tear	têe
Sura	cut	lêe
Sura	chop	cyàn
Sura	twist	muɣer
Sura	refuse	kwàr
Sura	answer	lap
Sura	ask	tàl
Sura	speak	sat
Sura	boil	fìl
Sura	fry	soyà
Sura	roast	wùs
Sura	cook	cyèt
Sura	burn	cyaan
Sura	accompany	sel
Sura	gather	lèe
Sura	bury	wûm
Sura	close	ši̵ɣat
Sura	open	wi̵ŋ
Sura	be tired	ɗuɣur
Sura	rest	nôkɗi
Sura	lie down	sâam
Sura	put down	lèe
Sura	lift	mâŋ
Sura	push	tup
Sura	pull	tùwùl
Sura	kill	tòo
Sura	rub	loɣas
Sura	hit	còt
Sura	taste	ɓi̵lem
Sura	touch	kyàm
Sura	smell	kì̵lìŋ ɗò
Sura	hear	kì̵lìŋ
Sura	see	nâa
Sura	mount	ka
Sura	run	sù
Sura	go out	put
Sura	go in	ɗel
Sura	return	pà
Sura	come	cì
Sura	go	sò
Sura	do	cìn
Sura	swallow	ɗal
Sura	drink	šuwa
Sura	eat	se
Sura	there is not	pàaniɗika
Sura	there is	niɗi
Sura	west	pèrùkùpuus
Sura	west	puskàn siɣin
Sura	east	puskùkà
Sura	left	sakùl
Sura	right	sase
Sura	between	nar̃
Sura	under	ndèr
Sura	atop	ŋ̀ka
Sura	outside	ʔai̵leŋ
Sura	inside	ndi̵gi̵n
Sura	that	ɗîse
Sura	this	ɗîsè
Sura	there	se
Sura	here	sê
Sura	how many?	ʔàkoŋè
Sura	how?	ʔàraŋè
Sura	who?	ʔàwêe
Sura	what?	ʔàmêe
Sura	when?	ʔàpi̵raŋè
Sura	where?	ʔânêe
Sura	tomorrow	tì̵ɗar
Sura	yesterday	toɣontòɣòn
Sura	today	cicin
Sura	deaf man	komtuɣar
Sura	blind man	fùm
Sura	strength	ɓal
Sura	coldness	sùɣùm
Sura	hotness	tàl
Sura	far	ciyoŋ
Sura	near	kus
Sura	expensiveness	kì̵rìm
Sura	thin	weel
Sura	fatness	mòɣàl
Sura	cleanness	ci̵wat
Sura	dirt	râp
Sura	wideness	kâam
Sura	old	ɗîsiɣir
Sura	new	ɗîmpwo
Sura	evil	ɗîpiš
Sura	good	ret
Sura	short	tùt
Sura	long	wuraŋ
